ids,labels,parents
ISHA,ISHA,
ISHA-Construido,Construido,ISHA
ISHA-Natural,Natural,ISHA
ISHA-Social,Social,ISHA
Social-Poder,Poder Social,Social
Social-Relacao,Relaçãoes Humanas Integradas,Social
Social-Capacidade,Capacidade de Governança Instituicional,Social
Social-Sistemas,Sistemas de Informação,Social
Natural-Solo,Solo,Natural
Natural-Segurança,Segurança Hídrica,Natural
Natural-Ambiente,Ambiente Integrador,Natural
Construído-Proteção,Capacidade de Proteção,Construído
Construído-Suprimento,Capacidade de Suprimento,Construído
